Cell type	Mark	Array	Control	Treat
SJSA1	H3K4me3	ct_17_14	1098	729
SJSA1	H3K4me3	ct_17_15	968	591
SJSA1	H3K4me3	ct_17_16	3082	2656
SJSA1	H3K4me3	ct_17_17	568	457
SJSA1	H3K4me3	ct_17_18	7857	4989
SJSA1	H3K4me3	ct_17_19	1029	790
SJSA1	H3K4me3	ct_17_20	118	64
SJSA1	H3K4me3	ct_17_21	59	67
SJSA1	H3K4me3	ct_17_22	2681	1995
SJSA1	H3K4me3	ct_17_23	11103	7603
SJSA1	H3K4me3	ct_17_24	837	569
SJSA1	H3K4me3	ct_17_25	283	205
SJSA1	H3K4me3	ct_17_26	750	473
SJSA1	H3K4me3	ct_17_27	1610	1196
SJSA1	H3K4me3	ct_17_28	250	146
SJSA1	H3K4me3	ct_17_29	355	237
SJSA1	H3K4me3	ct_17_30	10124	7114
SJSA1	H3K4me3	ct_17_31(q_arm)	250310	626950
SJSA1	H3K4me3	ct_18_1(p_arm)	23336	19844
SJSA1	H3K4me3	ct_18_2	6492	4809
SJSA1	H3K4me3	ct_18_3	169707	337150
SJSA1	H3K4me3	ct_18_4	3040	2660
SJSA1	H3K4me3	ct_18_5	30462	21101
SJSA1	H3K4me3	ct_18_6	7537	4810
SJSA1	H3K4me3	ct_18_7	1665	1089
SJSA1	H3K4me3	ct_18_8	1685	1152
SJSA1	H3K4me3	ct_18_9	5747	3723
SJSA1	H3K4me3	ct_18_10(q_arm)	286277	428123
SJSA1	H3K4me3	ct_19_1(p_arm)	10269	44594
SJSA1	H3K4me3	ct_19_2	314	246
SJSA1	H3K4me3	ct_19_3	54265	60659
SJSA1	H3K4me3	ct_19_4	2806	7277
SJSA1	H3K4me3	ct_19_5	26702	49418
SJSA1	H3K4me3	ct_19_6	4398	7323
SJSA1	H3K4me3	ct_19_7	11397	16400
SJSA1	H3K4me3	ct_19_8	927	1997
SJSA1	H3K4me3	ct_19_9	467	367
SJSA1	H3K4me3	ct_19_10	380	283
SJSA1	H3K4me3	ct_19_11	148	81
SJSA1	H3K4me3	ct_19_12	139	102
SJSA1	H3K4me3	ct_19_13	142	138
SJSA1	H3K4me3	ct_19_14	4331	2984
SJSA1	H3K4me3	ct_19_15	142	113
SJSA1	H3K4me3	ct_19_16	3920	2576
SJSA1	H3K4me3	ct_19_17	5075	3614
SJSA1	H3K4me3	ct_19_18	265	193
SJSA1	H3K4me3	ct_19_19	2987	2049
SJSA1	H3K4me3	ct_19_20	16607	11852
SJSA1	H3K4me3	ct_19_21	3384	2246
SJSA1	H3K4me3	ct_19_22	4017	2637
SJSA1	H3K4me3	ct_19_23	3798	2708
SJSA1	H3K4me3	ct_19_24	497	377
SJSA1	H3K4me3	ct_19_25	936	836
SJSA1	H3K4me3	ct_19_26	7281	9457
SJSA1	H3K4me3	ct_19_27	1934	5238
SJSA1	H3K4me3	ct_19_28	3624	2743
SJSA1	H3K4me3	ct_19_29	2102	1664
SJSA1	H3K4me3	ct_19_30	2487	1675
SJSA1	H3K4me3	ct_19_31	150	123
SJSA1	H3K4me3	ct_19_32	371	330
SJSA1	H3K4me3	ct_19_33	533	430
SJSA1	H3K4me3	ct_19_34	4595	3052
SJSA1	H3K4me3	ct_19_35	1541	7735
SJSA1	H3K4me3	ct_19_36	3735	5460
SJSA1	H3K4me3	ct_19_37	4812	3429
SJSA1	H3K4me3	ct_19_38	3330	5954
SJSA1	H3K4me3	ct_19_39	2638	11504
SJSA1	H3K4me3	ct_19_40	6160	11105
SJSA1	H3K4me3	ct_19_41	216	203
SJSA1	H3K4me3	ct_19_42	258	189
SJSA1	H3K4me3	ct_19_43	313	249
SJSA1	H3K4me3	ct_19_44	4610	17023
SJSA1	H3K4me3	ct_19_45	309	292
SJSA1	H3K4me3	ct_19_46(q_arm)	226312	262870
SJSA1	H3K4me3	ct_20_1(p_arm)	254449	414172
SJSA1	H3K4me3	ct_20_2	667	493
SJSA1	H3K4me3	ct_20_3	5883	3959
SJSA1	H3K4me3	ct_20_4	4395	5860
SJSA1	H3K4me3	ct_20_5	1166	923
SJSA1	H3K4me3	ct_20_6	9973	6661
SJSA1	H3K4me3	ct_20_7	1359	923
SJSA1	H3K4me3	ct_20_8	104	100
SJSA1	H3K4me3	ct_20_9	5889	14484
SJSA1	H3K4me3	ct_20_10	17	23
SJSA1	H3K4me3	ct_20_11	4203	2881
SJSA1	H3K4me3	ct_20_12	1119	1142
SJSA1	H3K4me3	ct_20_13	1361	1048
SJSA1	H3K4me3	ct_20_14	4400	3656
SJSA1	H3K4me3	ct_20_15	510	418
SJSA1	H3K4me3	ct_20_16	827	656
SJSA1	H3K4me3	ct_20_17	4430	2848
SJSA1	H3K4me3	ct_20_18	132	117
SJSA1	H3K4me3	ct_20_19	888	544
SJSA1	H3K4me3	ct_20_20	483	360
SJSA1	H3K4me3	ct_20_21	4977	3415
SJSA1	H3K4me3	ct_20_22	4976	6351
SJSA1	H3K4me3	ct_20_23	1959	1404
SJSA1	H3K4me3	ct_20_24	4713	3116
SJSA1	H3K4me3	ct_20_25	890	794
SJSA1	H3K4me3	ct_20_26	4090	2817
SJSA1	H3K4me3	ct_20_27	1181	734
SJSA1	H3K4me3	ct_20_28	5318	3933
SJSA1	H3K4me3	ct_20_29	1344	1013
SJSA1	H3K4me3	ct_20_30	4719	3121
SJSA1	H3K4me3	ct_20_31	910	762
SJSA1	H3K4me3	ct_20_32	3664	2691
SJSA1	H3K4me3	ct_20_33	507	309
SJSA1	H3K4me3	ct_20_34	5863	4097
SJSA1	H3K4me3	ct_20_35	106781	266193
SJSA1	H3K4me3	ct_20_36	141675	358562
SJSA1	H3K4me3	ct_20_37(q_arm)	51588	179710
SJSA1	H3K4me3	ct_21_1	206	132
SJSA1	H3K4me3	ct_21_2	7	3
SJSA1	H3K4me3	ct_21_3	34	32
SJSA1	H3K4me3	ct_21_4	226	136
SJSA1	H3K4me3	ct_21_5	525	440
SJSA1	H3K4me3	ct_21_6	288	258
SJSA1	H3K4me3	ct_21_7	1556	1135
SJSA1	H3K4me3	ct_21_8-DJ21	904	608
SJSA1	H3K4me3	ct_21_9-DJ21	6	6
SJSA1	H3K4me3	ct_21_10-DJ21	337	166
SJSA1	H3K4me3	ct_21_11-DJ21	26	18
SJSA1	H3K4me3	ct_21_12-DJ21	76	50
SJSA1	H3K4me3	ct_21_13-DJ21	4	3
SJSA1	H3K4me3	ct_21_14-DJ21	14	19
SJSA1	H3K4me3	ct_21_15-DJ21	478	362
SJSA1	H3K4me3	ct_21_16-DJ21	48	43
SJSA1	H3K4me3	ct_21_17-DJ21	6	16
SJSA1	H3K4me3	ct_21_18-DJ21	2061	2411
SJSA1	H3K4me3	ct_21_19-DJ21	309	218
SJSA1	H3K4me3	ct_21_20-DJ21	70	27
SJSA1	H3K4me3	ct_21_21-DJ21	5073	7534
SJSA1	H3K4me3	ct_21_22-DJ21	262	166
SJSA1	H3K4me3	ct_21_23-PJ21	59	45
SJSA1	H3K4me3	ct_21_24-PJ21	2224	1522
SJSA1	H3K4me3	ct_21_25-PJ21	98	127
SJSA1	H3K4me3	ct_21_26-PJ21	340	256
SJSA1	H3K4me3	ct_21_28-PJ21	869	837
SJSA1	H3K4me3	ct_21_29	2814	1983
SJSA1	H3K4me3	ct_21_30	1418	901
SJSA1	H3K4me3	ct_21_31	386	307
SJSA1	H3K4me3	ct_21_32	235	182
SJSA1	H3K4me3	ct_21_33	283	268
SJSA1	H3K4me3	ct_21_34	356	372
SJSA1	H3K4me3	ct_21_36	1115	959
SJSA1	H3K4me3	ct_21_37	120	98
SJSA1	H3K4me3	ct_21_38	3163	2005
SJSA1	H3K4me3	ct_21_39	1098	783
SJSA1	H3K4me3	ct_21_40	977	711
SJSA1	H3K4me3	ct_21_41	48	36
SJSA1	H3K4me3	ct_21_42	48	34
SJSA1	H3K4me3	ct_21_43	333	170
SJSA1	H3K4me3	ct_21_44	8	2
SJSA1	H3K4me3	ct_21_45	140	98
SJSA1	H3K4me3	ct_21_46	64	48
SJSA1	H3K4me3	ct_21_47	456	313
SJSA1	H3K4me3	ct_21_48	748	567
SJSA1	H3K4me3	ct_21_49	16	6
SJSA1	H3K4me3	ct_21_50	8	6
SJSA1	H3K4me3	ct_21_51	8	6
SJSA1	H3K4me3	ct_21_52	15	2
SJSA1	H3K4me3	ct_21_53	362	240
SJSA1	H3K4me3	ct_21_54	734	506
SJSA1	H3K4me3	ct_21_55	313	246
SJSA1	H3K4me3	ct_21_56	463	320
SJSA1	H3K4me3	ct_21_57	62	36
SJSA1	H3K4me3	ct_21_58	1405	1102
SJSA1	H3K4me3	ct_21_59	2323	1577
SJSA1	H3K4me3	ct_21_60	1076	786
SJSA1	H3K4me3	ct_21_61	402	244
SJSA1	H3K4me3	ct_21_62	23	8
SJSA1	H3K4me3	ct_21_63	48	24
SJSA1	H3K4me3	ct_21_64	4318	2992
SJSA1	H3K4me3	ct_21_65	2618	1668
SJSA1	H3K4me3	ct_21_66	31199	21345
SJSA1	H3K4me3	ct_21_67	2089	1636
SJSA1	H3K4me3	ct_21_68	8330	12278
SJSA1	H3K4me3	ct_21_69(q_arm)	232714	241213
SJSA1	H3K4me3	ct_22_1	589	482
SJSA1	H3K4me3	ct_22_2	24	14
SJSA1	H3K4me3	ct_22_3	323	298
SJSA1	H3K4me3	ct_22_4	280	206
SJSA1	H3K4me3	ct_22_5	330	260
SJSA1	H3K4me3	ct_22_6-DJ22	288	181
SJSA1	H3K4me3	ct_22_8-DJ22	18	10
SJSA1	H3K4me3	ct_22_10-DJ22	44	22
SJSA1	H3K4me3	ct_22_11-DJ22	36	28
SJSA1	H3K4me3	ct_22_12-DJ22	819	614
SJSA1	H3K4me3	ct_22_13-DJ22	861	626
SJSA1	H3K4me3	ct_22_14-DJ22	2264	3180
SJSA1	H3K4me3	ct_22_15-DJ22	492	365
SJSA1	H3K4me3	ct_22_16-DJ22	10	14
SJSA1	H3K4me3	ct_22_17-DJ22	491	1910
SJSA1	H3K4me3	ct_22_18-DJ22	2549	3355
SJSA1	H3K4me3	ct_22_19-PJ22	2	6
SJSA1	H3K4me3	ct_22_20-PJ22	1210	859
SJSA1	H3K4me3	ct_22_21-PJ22	76	115
SJSA1	H3K4me3	ct_22_22-PJ22	3284	2515
SJSA1	H3K4me3	ct_22_23-PJ22	6389	14921
SJSA1	H3K4me3	ct_22_24	10117	7247
SJSA1	H3K4me3	ct_22_25	5067	3241
SJSA1	H3K4me3	ct_22_26	296	206
SJSA1	H3K4me3	ct_22_27	2032	1226
SJSA1	H3K4me3	ct_22_28	3305	2280
SJSA1	H3K4me3	ct_22_29	1487	945
SJSA1	H3K4me3	ct_22_30	3998	2879
SJSA1	H3K4me3	ct_22_31	4835	3112
SJSA1	H3K4me3	ct_22_32	1338	1019
SJSA1	H3K4me3	ct_22_33	297	252
SJSA1	H3K4me3	ct_22_34	223	142
SJSA1	H3K4me3	ct_22_35	194	128
SJSA1	H3K4me3	ct_22_36	285	216
SJSA1	H3K4me3	ct_22_37	4	4
SJSA1	H3K4me3	ct_22_38	714	386
SJSA1	H3K4me3	ct_22_39	186	129
SJSA1	H3K4me3	ct_22_40	167	136
SJSA1	H3K4me3	ct_22_41	1294	2878
SJSA1	H3K4me3	ct_22_43	170	126
SJSA1	H3K4me3	ct_22_44	100	71
SJSA1	H3K4me3	ct_22_45	55	38
SJSA1	H3K4me3	ct_22_46	230	145
SJSA1	H3K4me3	ct_22_47	550	419
SJSA1	H3K4me3	ct_22_48	2658	1906
SJSA1	H3K4me3	ct_22_49	1227	774
SJSA1	H3K4me3	ct_22_50	336	293
SJSA1	H3K4me3	ct_22_51	1713	1108
SJSA1	H3K4me3	ct_22_52	3	9
SJSA1	H3K4me3	ct_22_53	377	283
SJSA1	H3K4me3	ct_22_54	40	48
SJSA1	H3K4me3	ct_22_55	1267	900
SJSA1	H3K4me3	ct_22_56	1580	1144
SJSA1	H3K4me3	ct_22_57	1539	1127
SJSA1	H3K4me3	ct_22_58	23	15
SJSA1	H3K4me3	ct_22_59	76	62
SJSA1	H3K4me3	ct_22_60	212	101
SJSA1	H3K4me3	ct_22_61	20	21
SJSA1	H3K4me3	ct_22_62	146	92
SJSA1	H3K4me3	ct_22_63	26	24
SJSA1	H3K4me3	ct_22_64	486	382
SJSA1	H3K4me3	ct_22_65	4842	3364
SJSA1	H3K4me3	ct_22_66	1088	638
SJSA1	H3K4me3	ct_22_67	1361	954
SJSA1	H3K4me3	ct_22_68	2289	1377
SJSA1	H3K4me3	ct_22_69	579	429
SJSA1	H3K4me3	ct_22_70	3498	2408
SJSA1	H3K4me3	ct_22_71	2958	2092
SJSA1	H3K4me3	ct_22_72	1972	1172
SJSA1	H3K4me3	ct_22_73	1836	1281
SJSA1	H3K4me3	ct_22_74	542	438
SJSA1	H3K4me3	ct_22_75	750	498
SJSA1	H3K4me3	ct_22_76	749	515
SJSA1	H3K4me3	ct_22_77	3855	2828
SJSA1	H3K4me3	ct_22_78	223	190
SJSA1	H3K4me3	ct_22_79	834	511
SJSA1	H3K4me3	ct_22_80	340	210
SJSA1	H3K4me3	ct_22_81	528	401
SJSA1	H3K4me3	ct_22_82	66	53
SJSA1	H3K4me3	ct_22_83	135	124
SJSA1	H3K4me3	ct_22_84	601	427
SJSA1	H3K4me3	ct_22_85	518	380
SJSA1	H3K4me3	ct_22_86	554	392
SJSA1	H3K4me3	ct_22_87	1230	752
SJSA1	H3K4me3	ct_22_88	2175	1293
SJSA1	H3K4me3	ct_22_89	890	650
SJSA1	H3K4me3	ct_22_90	6795	4849
SJSA1	H3K4me3	ct_22_91	4042	2824
SJSA1	H3K4me3	ct_22_92	2024	1507
SJSA1	H3K4me3	ct_22_93	6572	4465
SJSA1	H3K4me3	ct_22_94	1143	729
SJSA1	H3K4me3	ct_22_95	886	616
SJSA1	H3K4me3	ct_22_96	1291	996
SJSA1	H3K4me3	ct_22_97	296	200
SJSA1	H3K4me3	ct_22_98	17603	13607
SJSA1	H3K4me3	ct_22_99	77247	156016
SJSA1	H3K4me3	ct_22_100	5756	4027
SJSA1	H3K4me3	ct_22_101	247	144
SJSA1	H3K4me3	ct_22_102	45258	157943
SJSA1	H3K4me3	ct_22_103(q_arm)	34971	139654
SJSA1	H3K4me3	ct_X_1(p_arm)	117364	182676
SJSA1	H3K4me3	ct_X_2	64	58
SJSA1	H3K4me3	ct_X_3(q_arm)	127088	128290
MG63	H3K9me3	ct_1_1(p_arm)	193705	390780
MG63	H3K9me3	ct_1_2	11595	25449
MG63	H3K9me3	ct_1_3	68	229
MG63	H3K9me3	ct_1_4	62	184
MG63	H3K9me3	ct_1_5	960	2247
MG63	H3K9me3	ct_1_6	879	2138
MG63	H3K9me3	ct_1_7	987	2015
MG63	H3K9me3	ct_1_8	121	223
MG63	H3K9me3	ct_1_9	521	1122
MG63	H3K9me3	ct_1_10	74	142
MG63	H3K9me3	ct_1_11	1635	2954
MG63	H3K9me3	ct_1_12	423	783
MG63	H3K9me3	ct_1_13	310	673
MG63	H3K9me3	ct_1_14	3747	7249
MG63	H3K9me3	ct_1_15	70	154
MG63	H3K9me3	ct_1_16	123	292
MG63	H3K9me3	ct_1_17	1622	3018
MG63	H3K9me3	ct_1_18	696	1301
MG63	H3K9me3	ct_1_19	974	1907
MG63	H3K9me3	ct_1_20	116	253
MG63	H3K9me3	ct_1_21	22	46
MG63	H3K9me3	ct_1_22	529	1162
MG63	H3K9me3	ct_1_23	828	1839
MG63	H3K9me3	ct_1_24	1248	3267
MG63	H3K9me3	ct_1_25	725	1334
MG63	H3K9me3	ct_1_26	11501	22592
MG63	H3K9me3	ct_1_27	1227	2341
MG63	H3K9me3	ct_1_28	6658	11241
MG63	H3K9me3	ct_1_29	1403	3420
MG63	H3K9me3	ct_1_30(q_arm)	82824	154108
MG63	H3K9me3	ct_2_1(p_arm)	38353	75010
MG63	H3K9me3	ct_2_2	48747	94224
MG63	H3K9me3	ct_2_3	3	3
MG63	H3K9me3	ct_2_5	942	1904
MG63	H3K9me3	ct_2_6	112	197
MG63	H3K9me3	ct_2_7	8	40
MG63	H3K9me3	ct_2_8	6	14
MG63	H3K9me3	ct_2_11	14	26
MG63	H3K9me3	ct_2_12	6	22
MG63	H3K9me3	ct_2_13	1143	1986
MG63	H3K9me3	ct_2_14	6	10
MG63	H3K9me3	ct_2_15	9455	17198
MG63	H3K9me3	ct_2_16	284	671
MG63	H3K9me3	ct_2_17	442	813
MG63	H3K9me3	ct_2_18	276	689
MG63	H3K9me3	ct_2_19	254	540
MG63	H3K9me3	ct_2_20	355	833
MG63	H3K9me3	ct_2_21	366	715
MG63	H3K9me3	ct_2_22	4187	7647
MG63	H3K9me3	ct_2_23	5014	9517
MG63	H3K9me3	ct_2_24	64	74
MG63	H3K9me3	ct_2_25	469	961
MG63	H3K9me3	ct_2_26	178	380
MG63	H3K9me3	ct_2_27	422	926
MG63	H3K9me3	ct_2_28	22	59
MG63	H3K9me3	ct_2_29	15	49
MG63	H3K9me3	ct_2_30	32	55
MG63	H3K9me3	ct_2_31	20	25
MG63	H3K9me3	ct_2_32	411	872
MG63	H3K9me3	ct_2_33	6136	12364
MG63	H3K9me3	ct_2_34	482	1028
MG63	H3K9me3	ct_2_35	3514	6387
MG63	H3K9me3	ct_2_36	90	164
MG63	H3K9me3	ct_2_37	18561	41894
MG63	H3K9me3	ct_2_38	9863	17790
MG63	H3K9me3	ct_2_39	1778	3627
MG63	H3K9me3	ct_2_40	36180	69488
MG63	H3K9me3	ct_2_41	984	2267
MG63	H3K9me3	ct_2_42	568	1200
MG63	H3K9me3	ct_2_43	11652	23071
MG63	H3K9me3	ct_2_44(q_arm)	44190	92040
MG63	H3K9me3	ct_3_1(p_arm)	137431	255079
MG63	H3K9me3	ct_3_2	4929	9844
MG63	H3K9me3	ct_3_3	1411	3209
MG63	H3K9me3	ct_3_4	30	44
MG63	H3K9me3	ct_3_5	908	1452
MG63	H3K9me3	ct_3_6	83	158
MG63	H3K9me3	ct_3_7	390	688
MG63	H3K9me3	ct_3_8(q_arm)	250905	473319
MG63	H3K9me3	ct_4_1(p_arm)	129153	242370
MG63	H3K9me3	ct_4_2	480	1135
MG63	H3K9me3	ct_4_3	61	125
MG63	H3K9me3	ct_4_4	110	161
MG63	H3K9me3	ct_4_5	80	150
MG63	H3K9me3	ct_4_7	4	2
MG63	H3K9me3	ct_4_8	14	28
MG63	H3K9me3	ct_4_9	591	1065
MG63	H3K9me3	ct_4_10	68	160
MG63	H3K9me3	ct_4_11	76	134
MG63	H3K9me3	ct_4_13	911	1921
MG63	H3K9me3	ct_4_14	282	1130
MG63	H3K9me3	ct_4_15	313945	656638
MG63	H3K9me3	ct_4_16(q_arm)	118618	238330
MG63	H3K9me3	ct_5_1(p_arm)	206232	418463
MG63	H3K9me3	ct_5_2	144	483
MG63	H3K9me3	ct_5_3	202	596
MG63	H3K9me3	ct_5_4(q_arm)	137765	278566
MG63	H3K9me3	ct_6_1(p_arm)	115198	232515
MG63	H3K9me3	ct_6_2	21807	42099
MG63	H3K9me3	ct_6_3	3269	6491
MG63	H3K9me3	ct_6_4	760	1294
MG63	H3K9me3	ct_6_5	14745	30407
MG63	H3K9me3	ct_6_6	4535	9973
MG63	H3K9me3	ct_6_7(q_arm)	82874	157580
MG63	H3K9me3	ct_7_1(p_arm)	15196	30073
MG63	H3K9me3	ct_7_2	16665	34195
MG63	H3K9me3	ct_7_3	5714	18248
MG63	H3K9me3	ct_7_4	1270	3847
MG63	H3K9me3	ct_7_5	3126	9129
MG63	H3K9me3	ct_7_6	3870	12926
MG63	H3K9me3	ct_7_7	1041	3850
MG63	H3K9me3	ct_7_8	652	2227
MG63	H3K9me3	ct_7_9	5545	17844
MG63	H3K9me3	ct_7_10	7	59
MG63	H3K9me3	ct_7_11	6808	14904
MG63	H3K9me3	ct_7_12	1073	2109
MG63	H3K9me3	ct_7_13	70	142
MG63	H3K9me3	ct_7_14	664	1386
MG63	H3K9me3	ct_7_15	368	973
MG63	H3K9me3	ct_7_16	538	1265
MG63	H3K9me3	ct_7_17	394	1290
MG63	H3K9me3	ct_7_18	462	1443
MG63	H3K9me3	ct_7_19	1011	2716
MG63	H3K9me3	ct_7_20	171	336
MG63	H3K9me3	ct_7_21	58	130
MG63	H3K9me3	ct_7_22	2	6
MG63	H3K9me3	ct_7_23	196	628
MG63	H3K9me3	ct_7_24	20	38
MG63	H3K9me3	ct_7_25	22	70
MG63	H3K9me3	ct_7_26	210	554
MG63	H3K9me3	ct_7_27	216	718
MG63	H3K9me3	ct_7_28	1189	2855
MG63	H3K9me3	ct_7_29	188	624
MG63	H3K9me3	ct_7_30	161	495
MG63	H3K9me3	ct_7_31	733	2218
MG63	H3K9me3	ct_7_32	117	360
MG63	H3K9me3	ct_7_33	826	2597
MG63	H3K9me3	ct_7_34	57	234
MG63	H3K9me3	ct_7_35	849	2128
MG63	H3K9me3	ct_7_36	1179	2977
MG63	H3K9me3	ct_7_37	1322	3672
MG63	H3K9me3	ct_7_38	695	1645
MG63	H3K9me3	ct_7_39	611	1620
MG63	H3K9me3	ct_7_40	7506	25662
MG63	H3K9me3	ct_7_41	4079	13748
MG63	H3K9me3	ct_7_42	3169	11347
MG63	H3K9me3	ct_7_43	58	301
MG63	H3K9me3	ct_7_44	725	2369
MG63	H3K9me3	ct_7_45	1599	6410
MG63	H3K9me3	ct_7_46	170	431
MG63	H3K9me3	ct_7_47	4715	12842
MG63	H3K9me3	ct_7_48	4865	13480
MG63	H3K9me3	ct_7_49	29107	69240
MG63	H3K9me3	ct_7_50(q_arm)	45042	86848
MG63	H3K9me3	ct_8_1(p_arm)	196399	386221
MG63	H3K9me3	ct_8_2	12491	28943
MG63	H3K9me3	ct_8_3	763	1847
MG63	H3K9me3	ct_8_4	116	240
MG63	H3K9me3	ct_8_5	358	1133
MG63	H3K9me3	ct_8_6	551	1483
MG63	H3K9me3	ct_8_7	316	589
MG63	H3K9me3	ct_8_8	242	793
MG63	H3K9me3	ct_8_9	12	44
MG63	H3K9me3	ct_8_10	3312	8008
MG63	H3K9me3	ct_8_11	4982	11526
MG63	H3K9me3	ct_8_12	1265	3601
MG63	H3K9me3	ct_8_13	451	1206
MG63	H3K9me3	ct_8_14	630	2116
MG63	H3K9me3	ct_8_15	4184	7862
MG63	H3K9me3	ct_8_16	50452	103865
MG63	H3K9me3	ct_8_17(q_arm)	133914	271526
MG63	H3K9me3	ct_9_1(p_arm)	966	1480
MG63	H3K9me3	ct_9_2	934	1644
MG63	H3K9me3	ct_9_3	42	86
MG63	H3K9me3	ct_9_4	1022	1830
MG63	H3K9me3	ct_9_5	143	257
MG63	H3K9me3	ct_9_6	245	426
MG63	H3K9me3	ct_9_7	664	1320
MG63	H3K9me3	ct_9_8	5743	12762
MG63	H3K9me3	ct_9_9	64	106
MG63	H3K9me3	ct_9_10	6374	10370
MG63	H3K9me3	ct_9_11	2177	4208
MG63	H3K9me3	ct_9_12	1093	2077
MG63	H3K9me3	ct_9_13	3002	5642
MG63	H3K9me3	ct_9_14	56	186
MG63	H3K9me3	ct_9_15	1796	3806
MG63	H3K9me3	ct_9_16	324	773
MG63	H3K9me3	ct_9_17	148	188
MG63	H3K9me3	ct_9_18	102	208
MG63	H3K9me3	ct_9_19	1724	3667
MG63	H3K9me3	ct_9_20	120	204
MG63	H3K9me3	ct_9_21	1467	2992
MG63	H3K9me3	ct_9_22	738	1375
MG63	H3K9me3	ct_9_23	23875	47011
MG63	H3K9me3	ct_9_24	334	598
MG63	H3K9me3	ct_9_25	3583	6600
MG63	H3K9me3	ct_9_26	237	451
MG63	H3K9me3	ct_9_27	1295	2348
MG63	H3K9me3	ct_9_28	652	1365
MG63	H3K9me3	ct_9_29	103	288
MG63	H3K9me3	ct_9_30	2874	6253
MG63	H3K9me3	ct_9_31	608	1170
MG63	H3K9me3	ct_9_32	2255	4303
MG63	H3K9me3	ct_9_33	1072	2144
MG63	H3K9me3	ct_9_34	306	611
MG63	H3K9me3	ct_9_35	1005	2077
MG63	H3K9me3	ct_9_36	1879	3843
MG63	H3K9me3	ct_9_37	219	395
MG63	H3K9me3	ct_9_38	236	459
MG63	H3K9me3	ct_9_39	2139	3490
MG63	H3K9me3	ct_9_40	89	120
MG63	H3K9me3	ct_9_41	486	814
MG63	H3K9me3	ct_9_42	814	1348
MG63	H3K9me3	ct_9_43	2140	4031
MG63	H3K9me3	ct_9_44	95	323
MG63	H3K9me3	ct_9_45	50	182
MG63	H3K9me3	ct_9_46	104	431
MG63	H3K9me3	ct_9_47	2150	4440
MG63	H3K9me3	ct_9_48	372	900
MG63	H3K9me3	ct_9_49	458	627
MG63	H3K9me3	ct_9_50	148	424
MG63	H3K9me3	ct_9_51	1379	2460
MG63	H3K9me3	ct_9_52	118	184
MG63	H3K9me3	ct_9_53	1516	2788
MG63	H3K9me3	ct_9_54	21161	44171
MG63	H3K9me3	ct_9_55	353	690
MG63	H3K9me3	ct_9_56	1887	3510
MG63	H3K9me3	ct_9_57	208	283
MG63	H3K9me3	ct_9_58	1346	2274
MG63	H3K9me3	ct_9_59	153	468
MG63	H3K9me3	ct_9_60	401	659
MG63	H3K9me3	ct_9_61	3354	6521
MG63	H3K9me3	ct_9_62	2247	4441
MG63	H3K9me3	ct_9_63	895	1858
MG63	H3K9me3	ct_9_64	16013	28601
MG63	H3K9me3	ct_9_65(q_arm)	8091	14243
MG63	H3K9me3	ct_10_1(p_arm)	129006	267747
MG63	H3K9me3	ct_10_2	218	495
MG63	H3K9me3	ct_10_3	4908	13165
MG63	H3K9me3	ct_10_4	1583	3968
MG63	H3K9me3	ct_10_5	768	1992
MG63	H3K9me3	ct_10_6	1012	2313
MG63	H3K9me3	ct_10_7	902	2694
MG63	H3K9me3	ct_10_8	39	206
MG63	H3K9me3	ct_10_9	20	78
MG63	H3K9me3	ct_10_10	131	324
MG63	H3K9me3	ct_10_11	924	2292
MG63	H3K9me3	ct_10_12	490	1117
MG63	H3K9me3	ct_10_13	178	479
MG63	H3K9me3	ct_10_14	1500	2891
MG63	H3K9me3	ct_10_15	2131	4849
MG63	H3K9me3	ct_10_16	8330	25716
MG63	H3K9me3	ct_10_17(q_arm)	105703	228838
MG63	H3K9me3	ct_11_1(p_arm)	92556	165019
MG63	H3K9me3	ct_11_2	39277	73764
MG63	H3K9me3	ct_11_3	4122	11684
MG63	H3K9me3	ct_11_4	1173	3146
MG63	H3K9me3	ct_11_5	5477	15698
MG63	H3K9me3	ct_11_6	461	968
MG63	H3K9me3	ct_11_7(q_arm)	138305	278304
MG63	H3K9me3	ct_12_1(p_arm)	76992	152523
MG63	H3K9me3	ct_12_2	160469	315905
MG63	H3K9me3	ct_12_3	29	59
MG63	H3K9me3	ct_12_4	50	139
MG63	H3K9me3	ct_12_5	1781	3537
MG63	H3K9me3	ct_12_6	2983	6856
MG63	H3K9me3	ct_12_7	23	53
MG63	H3K9me3	ct_12_8	13	9
MG63	H3K9me3	ct_12_9	1047	2672
MG63	H3K9me3	ct_12_10	2722	7099
MG63	H3K9me3	ct_12_11	16552	34587
MG63	H3K9me3	ct_12_12(q_arm)	139150	259516
MG63	H3K9me3	ct_13_1-DJ13	298	644
MG63	H3K9me3	ct_13_2-DJ13	3	2
MG63	H3K9me3	ct_13_3-DJ13	8	6
MG63	H3K9me3	ct_13_4-DJ13	6	9
MG63	H3K9me3	ct_13_6-DJ13	76	224
MG63	H3K9me3	ct_13_7-DJ13	294	593
MG63	H3K9me3	ct_13_8-DJ13	20	37
MG63	H3K9me3	ct_13_9-DJ13	1216	2459
MG63	H3K9me3	ct_13_10-DJ13	594	1324
MG63	H3K9me3	ct_13_14-PJ13	28	60
MG63	H3K9me3	ct_13_15	10	22
MG63	H3K9me3	ct_13_16	348	604
